"Serotype","r","delta","phi_1","A_1","A_2","C1","B","C2","Gc0","Gs0","prim_bite","sec_bite"
"DENV1",1.24881,3.09744,0.122801,0.904082,4.74275,1.8971,0.452041,0.904082,0.05,0.0655451,-4.78191,-5.31706
"DENV1",1.26695,3.1499,0.123203,0.921112,4.74275,1.8971,0.460556,0.921112,0.05,0.0693221,-4.38586,-5.1531
"DENV1",1.1954,3.06332,0.11792,0.948551,4.78165,1.91266,0.474275,0.948551,0.0502746,0.0608168,-5.86197,-5.46197
"DENV1",1.30317,3.1675,0.126973,0.948551,5.20186,2.08074,0.474275,0.948551,0.151463,0.13329,-5.96286,-4.87454
"DENV1",1.32788,3.18182,0.118725,0.833264,4.74275,1.8971,0.416632,0.833264,0.05,0.069953,-4.90956,-5.15172
"DENV1",1.25509,3.11646,0.106023,0.827508,4.74275,1.8971,0.413754,0.827508,0.05,0.0717825,-5.64732,-5.65491
"DENV1",1.40775,3.25769,0.118081,0.769526,4.74275,1.8971,0.384763,0.769526,0.05,0.0732095,-4.22296,-5.09379
"DENV1",1.20273,3.01053,0.122478,0.948551,5.19267,2.07707,0.474275,0.948551,0.0501466,0.0573078,-5.29193,-5.52104
"DENV1",1.19521,3.02247,0.0932731,0.948551,4.31752,1.8971,0.431752,0.863503,0.67274,0.25,-5.26505,-5.80398
"DENV1",1.18428,3.06747,0.11267,0.960119,4.80055,1.91996,0.474278,0.948618,0.359536,0.249985,-5.09187,-5.52861
"DENV1",1.17853,3.00217,0.11208,0.992767,4.9258,1.98553,0.474286,0.948552,0.567775,0.25,-5.15926,-5.6451
"DENV1",1.24727,3.08562,0.110967,0.838292,4.74275,1.8971,0.419146,0.838292,0.05,0.0711448,-5.26894,-5.63408
"DENV1",1.22263,3.09392,0.121546,0.931754,4.74275,1.8971,0.465877,0.931754,0.05,0.0635476,-4.35947,-5.45359
"DENV1",1.2616,3.17374,0.125591,0.948551,4.77088,1.90835,0.474275,0.948551,0.05,0.0652809,-4.27785,-5.2699
"DENV1",1.22856,3.04168,0.124677,0.948551,5.265,2.106,0.474275,0.948551,0.0882427,0.0809713,-5.46928,-5.38673
"DENV1",1.20478,3.03622,0.120933,0.948551,5.04743,2.01897,0.474275,0.948551,0.05,0.0602795,-5.32919,-5.4535
"DENV1",1.24548,3.12904,0.123483,0.948551,4.93649,1.97459,0.474275,0.948551,0.05,0.0624499,-4.60118,-5.37928
"DENV1",1.29163,3.09848,0.134915,0.948551,5.23954,2.09581,0.474275,0.948551,0.0835711,0.0776852,-5.64257,-4.95279
"DENV1",1.16641,2.98185,0.117717,0.948551,5.12102,2.04841,0.474275,0.948551,0.05,0.0585322,-5.01384,-5.8769
"DENV1",1.30936,3.17267,0.108067,0.802311,4.74275,1.8971,0.401155,0.802311,0.05,0.0741229,-5.38883,-5.45572
"DENV1",1.18959,2.91433,0.118728,1.01896,5.39279,2.15712,0.474275,0.948551,0.0789549,0.0730626,-5.18524,-5.83238
"DENV1",1.161,3.02081,0.113069,0.948551,4.84539,1.93815,0.474275,0.948551,0.0547583,0.063472,-5.48574,-5.71365
"DENV1",1.21343,3.02438,0.124231,0.948551,5.27615,2.11046,0.474275,0.948551,0.05,0.0558432,-4.91249,-5.77556
"DENV1",1.26376,3.10609,0.123101,0.948551,5.19159,2.07664,0.474275,0.948551,0.0889224,0.0835253,-5.61747,-5.06694
"DENV1",1.56364,3.07845,0.102573,0.94855,3.9365,1.8971,0.334062,0.668124,0.05,0.0931877,-5.45172,-4.9585
"DENV1",1.20165,3.0061,0.122398,0.948551,5.27459,2.10984,0.474275,0.948551,0.05,0.0556111,-5.10044,-5.6715
"DENV1",1.17354,2.98175,0.118254,0.948551,5.13194,2.05277,0.474275,0.948551,0.0744634,0.0745915,-5.18243,-5.68996
"DENV1",1.28844,3.16652,0.104411,0.81049,4.74275,1.8971,0.405245,0.81049,0.067695,0.0857249,-5.84863,-5.52263
"DENV1",1.22067,3.08759,0.115581,0.948551,5.20505,2.08202,0.474275,0.948551,0.095515,0.0921565,-5.53789,-5.43283
"DENV1",1.37165,3.26123,0.111013,0.7991,4.74275,1.8971,0.39955,0.7991,0.05,0.0751091,-5.59005,-5.0857
"DENV1",1.22757,3.08873,0.122804,0.948551,5.02269,2.00908,0.474275,0.948551,0.05,0.0572318,-4.95962,-5.56992
"DENV1",1.45837,3.07049,0.102815,0.901278,4.12763,1.8971,0.355135,0.710269,0.05,0.0858957,-5.47843,-5.21053
"DENV1",1.20049,3.06914,0.11867,0.948551,4.98319,1.99328,0.474275,0.948551,0.133293,0.121551,-5.24734,-5.54297
"DENV1",1.29099,3.14598,0.130364,0.948551,5.2476,2.09904,0.474275,0.948551,0.05,0.0558065,-4.45252,-5.36425
"DENV1",1.18961,3.06752,0.118811,0.940756,4.74275,1.8971,0.470378,0.940756,0.05,0.0583335,-5.31926,-5.79518
"DENV1",1.17921,2.97196,0.113633,1.01129,4.74275,2.02258,0.474275,0.948551,0.403361,0.25,-5.18634,-5.643
